Greenhouse gas;Formula;Lifetime;Unit;RE (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP 100(W m-2 yr kg-1);GWP100;Lifetime(years);mass to ppb factor (ppb/kg) (based on AGWP20);mass to ppb factor (ppb/kg) (based on AGWP100);Best estimate (mass to ppb)
Halogenated alcohols and ethers;;;;;;;;;;;;
HFE-125;CHF2OCF3;119;years;0.41;3.1E-10;12400;1.14E-09;12400;119;4.10707E-11;4.11049E-11;4.10878E-11
HFE-134 (HG-00);CHF2OCHF2;24.4;years;0.44;2.9E-10;11600;5.1E-10;5560;24.4;4.82852E-11;4.83056E-11;4.82954E-11
HFE-143a;CH3OCF3;4.8;years;0.18;4.72E-11;1890;4.8E-11;523;4.8;5.54899E-11;5.55556E-11;5.55227E-11
HFE-227ea;CF3CHFOCF3;51.6;years;0.44;2.22E-10;8900;5.92E-10;6450;51.6;3.04313E-11;3.04609E-11;3.04461E-11
HCFE-235ca2(enflurane);CHF2OCF2CHFCl;4.3;years;0.41;5.3E-11;2120;5.35E-11;583;4.3;3.03523E-11;3.0346E-11;3.03491E-11
HCFE-235da2(isoflurane);CHF2OCHClCF3;3.5;years;0.42;4.49E-11;1800;4.5E-11;491;3.5;3.06453E-11;3.06122E-11;3.06288E-11
HFE-236ca;CHF2OCF2CHF2;20.8;years;0.56;2.42E-10;9710;3.89E-10;4240;20.8;3.36348E-11;3.36713E-11;3.36531E-11
HFE-236ea2(desflurane);CHF2OCHFCF3;10.8;years;0.45;1.39E-10;5550;1.64E-10;1790;10.8;3.39253E-11;3.37481E-11;3.38367E-11
HFE-236fa;CF3CH2OCF3;7.5;years;0.36;8.35E-11;3350;8.98E-11;979;7.5;3.32352E-11;3.32593E-11;3.32473E-11
HFE-245cb2;CF3CF2OCH3;4.9;years;0.33;5.9E-11;2360;6E-11;654;4.9;3.71138E-11;3.71058E-11;3.71098E-11
HFE-245fa1;CHF2CH2OCF3;6.6;years;0.31;7.22E-11;2900;7.59E-11;828;6.6;3.70793E-11;3.70968E-11;3.70881E-11
HFE-245fa2;CHF2OCH2CF3;5.5;years;0.36;7.25E-11;2910;7.45E-11;812;5.5;3.7607E-11;3.76263E-11;3.76166E-11
2,2,3,3,3-Pentafluoropropan-1-ol;CF3CF2CH2OH;0.3;years;0.14;1.72E-12;69;1.72E-12;19;0.3;4.09524E-11;4.09524E-11;4.09524E-11
HFE-254cb1;CH3OCF2CHF2;2.5;years;0.26;2.76E-11;1110;2.76E-11;301;2.5;4.24758E-11;4.24615E-11;4.24687E-11
HFE-263fb2;CF3CH2OCH3;23;days;0.04;1.22E-13;5;1.22E-13;1;0.063013699;4.84022E-11;4.84022E-11;4.84022E-11
HFE-263m1;CF3OCH2CH3;0.4;years;0.13;2.7E-12;108;2.7E-12;29;0.4;5.19231E-11;5.19231E-11;5.19231E-11
3,3,3-Trifluoropropan-1-ol;CF3CH2CH2OH;12;days;0.02;3.57E-14;1;3.57E-14;0;0.032876712;5.42938E-11;5.42938E-11;5.42938E-11
HFE-329mcc2;CHF2CF2OCF2CF3;22.5;years;0.53;1.68E-10;6720;2.81E-10;3070;22.5;2.39232E-11;2.3844E-11;2.38836E-11
HFE-338mmz1;(CF3)2CHOCHF2;21.2;years;0.44;1.48E-10;5940;2.4E-10;2620;21.2;2.59805E-11;2.59611E-11;2.59708E-11
HFE-338mcf2;CF3CH2OCF2CF3;7.5;years;0.44;7.93E-11;3180;8.52E-11;929;7.5;2.58247E-11;2.58182E-11;2.58215E-11
Sevoflurane (HFE-347mmz1);(CF3)2CHOCH2F;2.2;years;0.32;1.98E-11;795;1.98E-11;216;2.2;2.81282E-11;2.8125E-11;2.81266E-11
HFE-347mcc3 (HFE-7000);CH3OCF2CF2CF3;5;years;0.35;4.78E-11;1910;4.86E-11;530;5;2.78239E-11;2.77714E-11;2.77977E-11
HFE-347mcf2;CHF2CH2OCF2CF3;6.6;years;0.42;7.45E-11;2990;7.83E-11;854;6.6;2.82399E-11;2.82468E-11;2.82433E-11
HFE-347pcf2;CHF2CF2OCH2CF3;6;years;0.48;7.86E-11;3150;8.15E-11;889;6;2.83013E-11;2.82986E-11;2.82999E-11
HFE-347mmy1;(CF3)2CFOCH3;3.7;years;0.32;3.32E-11;1330;3.33E-11;363;3.7;2.81671E-11;2.8125E-11;2.8146E-11
HFE-356mec3;CH3OCF2CHFCF3;3.8;years;0.3;3.53E-11;1410;3.55E-11;387;3.8;3.11261E-11;3.11404E-11;3.11332E-11
HFE-356mff2;CF3CH2OCH2CF3;105;days;0.17;1.54E-12;62;1.54E-12;17;0.287671233;3.14902E-11;3.14902E-11;3.14902E-11
HFE-356pcf2;CHF2CH2OCF2CHF2;5.7;years;0.37;6.4E-11;2560;6.59E-11;719;5.7;3.12825E-11;3.1247E-11;3.12648E-11
HFE-356pcf3;CHF2OCH2CF2CHF2;3.5;years;0.38;4.08E-11;1640;4.09E-11;446;3.5;3.07782E-11;3.07519E-11;3.0765E-11
HFE-356pcc3;CH3OCF2CF2CHF2;3.8;years;0.32;3.77E-11;1510;3.79E-11;413;3.8;3.11647E-11;3.11678E-11;3.11662E-11
HFE-356mmz1;(CF3)2CHOCH3;97.1;days;0.15;1.25E-12;50;1.25E-12;14;0.266027397;3.13251E-11;3.13251E-11;3.13251E-11
HFE-365mcf3;CF3CF2CH2OCH3;19.3;days;0.05;8.51E-14;3;8.51E-14;1;0.052876712;3.21881E-11;3.21881E-11;3.21881E-11
HFE-365mcf2;CF3CF2OCH2CH3;0.6;years;0.26;5.35E-12;215;5.35E-12;58;0.6;3.42949E-11;3.42949E-11;3.42949E-11
HFE-374pc2;CHF2CF2OCH2CH3;5;years;0.3;5.65E-11;2260;5.75E-11;627;5;3.83694E-11;3.83333E-11;3.83514E-11
4,4,4-Trifluorobutan-1-ol;CF3(CH2)2CH2OH;4;days;0.01;1.73E-15;0;1.73E-15;0;0.010958904;1.57863E-11;1.57863E-11;1.57863E-11
2,2,3,3,4,4,5,5-Octafluorocyclopentanol;(CF2)4CH(OH);0.3;years;0.16;1.18E-12;47;1.18E-12;13;0.3;2.45833E-11;2.45833E-11;2.45833E-11
